cd,inc_medianHHI,inc_meanHHI,inc_perCapita,popEmp_16plusTotalPop,popEmp_civilianLaborForce,popEmp_civLaborForceEmployed,popEmp_civLaborForceUnemployed,popEmp_armedForces,civInd_16plusTotalEmpl,civInd_AgricultureForestryFishingHuntingMining,civInd_Construction,civInd_Manufacturing,civInd_Wholesale,civInd_Retail,civInd_TransportWarehousingUtilities,civInd_Information,civInd_FinanceInsuranceRealestate,civInd_ProfessionalScientificManagementAdministrationWaste,civInd_EducationHealthSocial,civInd_ArtsEntertainRecAccommodateFood,civInd_Other,civInd_Publicadmin,civHealth_nonInstTotalPop,civHealth_covered,civHealth_private,civHealth_public,civHealth_none
AL-01,71253,92139,37170,609348,343785,329161,14624,4837,329161,5305,28182,37148,7290,40141,22285,2227,22176,31241,72861,26738,16304,17263,746664,685508,484502,300825,61156
AL-02,54977,79116,32985,565906,317950,302242,15708,3619,302242,3982,16245,39803,6159,37076,19012,3634,14595,30505,64822,29299,13973,23137,685561,628735,433379,289452,56826
AL-03,62191,80619,32875,601971,342228,327031,15197,2427,327031,3825,21354,54857,5711,39732,15736,2600,13577,28068,82698,26803,14329,17741,725253,670501,488507,288569,54752
AL-04,63203,84688,34082,588831,336703,323785,12918,561,323785,4305,25770,59740,5141,36908,19743,2803,16075,23974,75372,22596,16971,14387,727455,657210,475627,284361,70245
AL-05,80140,106158,43267,626597,391988,378784,13204,1024,378784,3997,23265,61596,5769,40832,15417,4483,15755,60050,74734,30359,15850,26677,764332,703316,568777,248519,61016
AL-06,86712,117452,46161,583409,374474,362995,11479,2187,362995,2468,25770,35716,9781,36363,20635,8224,29597,38769,91492,27340,16073,20767,715636,669149,539663,218894,46487
AL-07,54635,74912,31513,584076,340747,320296,20451,555,320296,6609,19631,38943,5174,36884,21210,3408,19094,30891,74852,30103,15308,18189,708809,641443,435940,290886,67366
AK-00,95665,122082,47267,586083,363709,342028,21681,26882,342028,14629,22769,14948,4270,30992,33140,5216,13481,26676,89982,28370,17181,40374,705677,628145,464281,266835,77532
AZ-01,102195,156478,71184,695033,459864,445194,14670,197,445194,2793,30448,27423,10385,47276,22518,7135,55495,77365,94546,42491,17201,10118,815093,760182,603533,269869,54911
AZ-02,70376,91701,36805,709043,377715,355859,21856,1158,355859,7485,31600,22741,4285,40442,18661,6372,21591,31801,87155,43080,16702,23944,839933,738387,487679,381695,101546
AZ-03,70539,87678,29704,648185,446941,421969,24972,743,421969,1169,53483,30096,7691,43220,34917,5610,29599,53779,78260,47948,22479,13718,824837,658087,387222,322837,166750
