CD,DEM,REP,MARGIN,REMAIN
ak-00,43,53.1,-10.1,3.9
al-01,24.3,74.7,-50.4,1
al-02,55.7,43.3,12.4,1
al-03,29,70,-41,1
al-04,18.5,80.6,-62.1,0.9
al-05,35.6,62.8,-27.1,1.6
al-06,30.4,68.4,-38,1.2
al-07,64,35.1,28.9,0.9
ar-01,28.1,69,-40.9,2.9
ar-02,42.1,55.2,-13.1,2.7
ar-03,36.8,60.2,-23.4,3
ar-04,31,66.2,-35.2,2.8
az-01,50.1,48.6,1.5,1.3
az-02,45.3,53.2,-7.9,1.5
az-03,74.5,23.9,50.6,1.6
az-04,54.2,43.9,10.3,1.9
az-05,41,57.4,-16.4,1.6
az-06,49.3,49.2,0.1,1.5
az-07,65.6,32.9,32.8,1.5
az-08,42.5,56.1,-13.5,1.4
az-09,36.4,62.2,-25.8,1.4
ca-01,39.2,58.3,-19.1,2.5
ca-02,73.5,24,49.5,2.5
ca-03,47.9,49.7,-1.8,2.4
ca-04,67.1,30.5,36.6,2.4
ca-05,42.7,55,-12.3,2.3
ca-06,57.9,39.4,18.4,2.7
ca-07,67.4,30.3,37.2,2.3
ca-08,76,22,54,2
ca-09,55.2,42.6,12.6,2.2
ca-10,68.6,29.3,39.4,2.1
ca-11,86.3,11.7,74.5,2
ca-12,89.3,8.6,80.7,2.1
ca-13,54.3,43.4,10.9,2.3
ca-14,71.7,26.2,45.5,2.1
ca-15,77.7,20.4,57.3,1.9
ca-16,75.4,22.4,53,2.2
ca-17,72.7,25.3,47.4,2
ca-18,71,26.9,44.1,2.1
ca-19,68.7,29.1,39.6,2.2
ca-20,36.4,61.3,-24.9,2.3
ca-21,59.1,38.8,20.3,2.1
ca-22,55.3,42.3,12.9,2.4
ca-23,43.9,53.7,-9.8,2.4
ca-24,63.3,34.3,29.1,2.4
ca-25,56.7,41.4,15.3,1.9
ca-26,58.9,39,20,2.1
ca-27,55.1,42.7,12.4,2.2
ca-28,66.1,31.9,34.2,2
ca-29,74.5,23.2,51.3,2.3
ca-30,72.2,26,46.2,1.8
ca-31,64.5,33.4,31.1,2.1
ca-32,69.5,28.7,40.8,1.8
ca-33,61.5,36.2,25.3,2.3
ca-34,81,16.7,64.2,2.3
ca-35,62.7,35.1,27.6,2.2
ca-36,71,26.9,44.1,2.1
ca-37,85.7,12.4,73.3,1.9
ca-38,64.1,33.9,30.2,2
ca-39,62,35.8,26.1,2.2
ca-40,49.9,48,1.9,2.1
ca-41,48.6,49.7,-1.1,1.7
ca-42,71.7,25.9,45.8,2.4
