CD,DEM,REP,MARGIN,REMAIN
ak-00,48.78,51.22,-2.44,0.00
al-01,21.5,78.4,-56.90,0.10
al-02,54.56,45.37,9.19,0.07
al-03,--,97.93,--,2.07
al-04,--,98.79,--,1.21
al-05,--,95.39,--,4.61
al-06,29.57,70.32,-40.75,0.11
al-07,63.68,36.26,27.42,0.06
ar-01,24,72.88,-48.88,3.12
ar-02,41.07,58.93,-17.86,0.00
ar-03,31.77,63.8,-32.03,4.43
ar-04,27.09,72.91,-45.82,0.00
az-01,48.09,51.91,-3.82,0.00
az-02,45.51,54.48,-8.97,0.01
az-03,70.94,26.58,44.36,2.48
az-04,52.74,45.45,7.29,1.81
az-05,39.61,60.39,-20.78,0.00
az-06,47.49,50,-2.51,2.51
az-07,63.45,36.55,26.90,0.00
az-08,43.5,56.5,-13.00,0.00
az-09,34.7,65.3,-30.60,0.00
ca-01,34.66,65.34,-30.68,0.00
ca-02,71.88,28.12,43.76,0.00
ca-03,44.53,55.47,-10.94,0.00
ca-04,66.46,33.54,32.92,0.00
ca-05,38.23,61.77,-23.54,0.00
ca-06,57.62,42.38,15.24,0.00
ca-07,66.75,33.25,33.50,0.00
ca-08,73.97,26.03,47.94,0.00
ca-09,51.79,48.21,3.58,0.00
ca-10,66.47,33.53,32.94,0.00
ca-11,81.03,18.97,62.06,0.00
ca-12,100,--,--,0.00
ca-13,50.04,49.96,0.08,0.00
ca-14,67.75,32.25,35.50,0.00
ca-15,73.1,26.9,46.20,0.00
ca-16,100,--,--,0.00
ca-17,67.66,32.34,35.32,0.00
ca-18,64.63,35.37,29.26,0.00
ca-19,69.3,30.7,38.60,0.00
ca-20,--,100,--,0.00
ca-21,52.57,47.43,5.14,0.00
ca-22,46.58,53.42,-6.84,0.00
ca-23,39.86,60.14,-20.28,0.00
ca-24,62.7,37.3,25.40,0.00
ca-25,56.25,43.75,12.50,0.00
ca-26,56.05,43.95,12.10,0.00
ca-27,51.33,48.67,2.66,0.00
ca-28,64.93,35.07,29.86,0.00
ca-29,69.78,30.22,39.56,0.00
ca-30,68.38,31.62,36.76,0.00
ca-31,59.73,40.27,19.46,0.00
ca-32,66.2,33.8,32.40,0.00
ca-33,58.81,41.19,17.62,0.00
ca-34,100,--,--,0.00
ca-35,58.41,41.59,16.82,0.00
ca-36,68.72,31.28,37.44,0.00
ca-37,78.3,--,--,21.70
ca-38,59.84,40.16,19.68,0.00
ca-39,56.69,43.31,13.38,0.00
ca-40,44.74,55.26,-10.52,0.00
ca-41,48.31,51.69,-3.38,0.00
ca-42,68.14,31.86,36.28,0.00
ca-43,75.07,24.93,50.14,0.00
ca-44,71.37,28.63,42.74,0.00
ca-45,50.1,49.9,0.20,0.00
ca-46,63.43,36.57,26.86,0.00
ca-47,51.44,48.56,2.88,0.00
