CD,DEMOCRAT,REPUBLICAN,MARGIN
ak-00,41.4,54.5,-13.1
al-01,21.9,77.3,-55.3
al-02,53.7,45.4,8.2
al-03,26.3,72.9,-46.7
al-04,16.4,82.8,-66.4
al-05,34.8,63.9,-29.1
al-06,30.2,68.7,-38.6
al-07,61.2,37.9,23.4
ar-01,26.4,71.7,-45.3
ar-02,41.0,56.6,-15.5
ar-03,36.2,61.1,-24.9
ar-04,29.1,69.0,-39.9
az-01,48.0,51.1,-3.1
az-02,42.0,57.0,-15.0
az-03,69.2,29.4,39.8
az-04,52.6,46.0,6.7
az-05,39.5,59.5,-20.0
az-06,49.1,49.8,-0.7
az-07,60.5,38.4,22.1
az-08,41.4,57.7,-16.3
az-09,34.0,65.1,-31.1
ca-01,36.1,61.1,-24.9
ca-02,70.9,25.7,45.2
ca-03,46.5,50.3,-3.8
ca-04,64.0,32.8,31.2
ca-05,39.9,57.6,-17.7
ca-06,55.2,41.4,13.9
ca-07,63.1,33.4,29.7
ca-08,70.2,26.6,43.6
ca-09,47.6,49.4,-1.8
ca-10,65.2,31.4,33.8
ca-11,81.8,14.1,67.7
ca-12,84.5,10.6,73.9
ca-13,46.0,51.4,-5.4
ca-14,65.8,30.4,35.4
ca-15,72.2,24.3,47.9
ca-16,72.5,23.9,48.5
ca-17,66.8,28.8,37.9
ca-18,63.2,33.7,29.5
ca-19,65.4,31.1,34.4
ca-20,33.7,64.0,-30.3
ca-21,50.6,46.8,3.8
ca-22,45.8,51.6,-5.8
ca-23,40.2,57.1,-16.9
ca-24,61.0,35.9,25.0
ca-25,50.1,47.6,2.5
ca-26,55.2,42.0,13.2
ca-27,50.5,46.6,3.9
ca-28,61.8,34.9,26.9
ca-29,65.8,31.0,34.8
ca-30,68.8,27.8,41.1
ca-31,56.9,40.0,16.9
ca-32,64.2,32.9,31.3
ca-33,52.9,44.2,8.7
ca-34,73.1,22.4,50.6
ca-35,53.7,43.4,10.3
ca-36,67.9,28.8,39.1
ca-37,78.7,18.3,60.4
ca-38,56.5,40.4,16.1
ca-39,53.3,43.6,9.7
ca-40,47.2,49.5,-2.3
ca-41,45.7,51.7,-5.9
ca-42,64.5,32.0,32.4
ca-43,72.9,23.9,49.0
ca-44,65.3,31.5,33.8
ca-45,49.3,47.8,1.5
ca-46,57.3,39.6,17.7
ca-47,50.3,46.2,4.2
ca-48,41.1,56.4,-15.3
ca-49,52.5,44.7,7.8
ca-50,63.1,33.6,29.6
ca-51,60.2,36.7,23.5
ca-52,59.3,38.1,21.2
co-01,76.7,20.6,56.1
co-02,68.5,28.7,39.8
co-03,43.9,53.6,-9.7
co-04,39.6,57.9,-18.3
co-05,44.1,53.2,-9.1
co-06,58.5,38.7,19.8
co-07,56.1,41.1,15.0
co-08,47.8,49.6,-1.8
ct-01,60.6,37.7,22.9
ct-02,53.0,45.3,7.7
ct-03,56.1,42.0,14.1
ct-04,60.9,37.5,23.4
ct-05,52.0,46.4,5.6
de-00,56.6,41.9,14.7
fl-01,30.9,68.1,-37.2
fl-02,40.5,58.5,-18.0
fl-03,39.0,60.1,-21.1
fl-04,43.6,55.4,-11.8
fl-05,38.7,60.1,-21.4
fl-06,34.6,64.7,-30.1
fl-07,43.2,55.7,-12.5
fl-08,38.4,60.7,-22.3
fl-09,51.2,47.7,3.5
fl-10,60.7,38.0,22.7
fl-11,41.4,57.7,-16.3
fl-12,32.3,66.9,-34.6
fl-13,43.6,55.5,-11.9
fl-14,53.3,45.6,7.7
fl-15,43.7,54.9,-11.2
fl-16,41.8,57.3,-15.5
fl-17,37.7,61.6,-23.9
fl-18,34.9,64.3,-29.4
fl-19,35.1,64.3,-29.2
fl-20,69.4,29.7,39.6
fl-21,41.4,57.9,-16.6
fl-22,52.3,46.8,5.6
fl-23,50.5,48.6,1.9
fl-24,64.6,34.5,30.1
fl-25,52.2,46.8,5.3
fl-26,32.2,67.2,-35.0
fl-27,42.3,56.9,-14.7
fl-28,37.0,62.4,-25.4
ga-01,41.8,57.6,-15.8
ga-02,53.6,46.0,7.6
ga-03,34.9,64.6,-29.7
ga-04,75.7,23.2,52.5
ga-05,85.3,13.7,71.6
ga-06,74.6,24.6,49.9
ga-07,38.4,60.5,-22.1
ga-08,34.5,65.1,-30.6
ga-09,32.6,66.7,-34.1
ga-10,39.3,60.1,-20.8
ga-11,37.9,61.2,-23.3
ga-12,42.7,56.8,-14.2
ga-13,70.7,28.4,42.3
ga-14,31.3,68.1,-36.8
hi-01,61.5,36.8,24.7
hi-02,59.7,38.1,21.6
ia-01,45.0,53.5,-8.5
ia-02,44.3,54.3,-10.0
ia-03,47.1,51.6,-4.4
ia-04,33.6,65.1,-31.5
id-01,26.2,71.3,-45.1
id-02,35.1,61.8,-26.7
il-01,65.4,33.3,32.0
il-02,65.9,32.8,33.1
il-03,65.0,33.6,31.4
